"number","opened_at","closed_at","priority","state","assignment_group","short_description","location.country","location.name","location.u_it_brm","location.u_it_operations_manager","location.u_region","location.u_site_name","u_resolution_code","u_root_cause","u_root_cause_category","u_root_cause_code","u_root_cause_subcategory","u_rca_required","universal_request.ref_problem_task.u_rca_delivered","universal_request.ref_problem_task.u_rca_delivered_date"
"PRB0050848","2025-01-16 11:36:30","2025-01-31 08:15:42","2 - High","Pending Change","CFS_PROBLEM_MANAGER","INC7327134 : P2 : SAP PH1 - Sterling Integrator SHPORD messages to DHL and GEODIS at <10610 - Warwick - United Kingdom>","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","Why 1: Why was the Sterling Integrator (SI) unable to transfer the files from SAP PH1 to External Vendor (Geodis & DHL).
           A1: This was due to the SI perimeter server being inactive and unresponsive to the Sterling Integrator.
           Why 2: Why were SI perimeter servers inactive and unresponsive to the SI?
                  A2: It seemed that the SI perimeter server was not functioning properly in the backend, despite the logs appearing
                         normal upon review.
                        Why 3: Why were the SI parameter servers not functioning properly in the backend?
                               A3: To identify the cause, an IBM PMR was raised, and the IBM team made changes to the hostname of the
                                      external IF for the remote parameter. Additionally, the SI perimeter server application was restarted to
                                      resolve the issue.
Final Root Cause: 
There appeared to be an intermittent issue with the SI perimeter server, where certain configurations were stuck. Refreshing the properties ultimately resolved the issue.
","Application","","Connectivity","Yes","false",""
"PRB0050850","2025-02-03 02:23:52","2025-02-14 02:33:33","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-INC7348276-EMEA-Fuel Injection Systems-Users are facing the issue with  SAP T Code in SAP PN1 System at site 10304 - Iasi - Romania on 03rd Feb'25.","Romania","10304","Serbanuta, Florin-Rafael","Cazan, Anca","EMEA","Iasi - Romania","Resolved - Root Cause Removed","Users encountered an issue with the SAP T code in the SAP PN1 system, preventing business users from completing the backflush process using transaction code ZCOGIA.
The issue occurred due to the controlling period not being opened in T- code OKP1, which is required to be maintained by the business at the end of each month This was missed for the period 02/2025.","Application","","Human Error","Yes","false",""
"PRB0050857","2025-02-18 13:10:52","2025-11-11 02:59:53","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-INC7370755-EMEA-Aftermarket-Users are unable to access LAN and WIFI Network at site 00195 - Madrid - Spain on 18th Feb'25.","Spain","00195","Skrzypczynski, Jacob","S K, Arif","EMEA","Madrid - Spain","Unresolved - Rejected","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050858","2025-02-22 13:12:11","2025-11-11 03:04:52","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2: IN: AL: PH - Switch: Dell EMC Switch is experiencing a degradation at 20030 - Rzeszow - Poland.","Poland","10682","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Krakow - Poland","Unresolved - Rejected","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050860","2025-02-24 04:13:08","2025-03-04 09:04:11","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-INC7379878-EMEA-Fuel Injection Systems-Users are unable to access share drives and network printers  at site 20030 - Rzeszow - Poland on 24th Feb'25","Poland","20030","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Rzeszow - Poland","Deferred","","Root cause not required","","Root cause not required","No","false",""
"PRB0050864","2025-02-28 05:20:25","2025-03-21 10:02:36","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Major Incident-P2-INC7387730-EMEA-Fuel Injection Systems-Network slowness issue at 00202 - Blois - France on 28th Feb'25","France","00202","Djilli, Azzeddine","Gauthier, Guillaume","EMEA","Blois - France","Resolved - Root Cause Removed","   Why 1: Why were the Users facing the Network Connectivity issues?
   A1:  The LAN Team noticed that there was a High WAN Utilization as the Relations were in transferring status due to a High Data Rate.    
Final Root Cause: 
The Users were facing the Network issue due to High Data Transmission.
","Network","","Capacity/ Performance","Yes","false",""
"PRB0050865","2025-02-28 06:52:34","2025-03-17 05:33:29","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Major Incident-P2-INC7387944-Global-Aftermarket-Users are facing slowness issue while accessing SAP PH1 on 28th Feb'25","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","Why 1: Why were the Users not able to access the SAP PH1 Application?
   A1:  The Users weren't able to access the SAP PH1 Application because the SAP Hana Database got rebooted.
      Why 2: Why did the SAP HANA Database get Rebooted?
       A2: The SAP HANA Database got rebooted because of the Microsoft Azure Planned Network Activity.
   Final Root Cause: The physical host node where the VM is running had a networking stack update due to which the VMs got Rebooted and this resulted in a brief loss of connectivity.
","Network","","Firmware","Yes","false",""
"PRB0050868","2025-03-14 12:48:06","2025-11-11 03:07:56","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Major Incident-P2-INC7412533-EMEA-Corporate-Users are unable to access share drives and network printers on 14th March'25.","Poland","10682","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Krakow - Poland","Unresolved - Rejected","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050869","2025-03-17 10:12:55","2025-03-26 12:13:33","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-INC7420977-Corporate-Global-Suppliers were unable to access SAP PH1 SWP _ Supplier Portal on 17th March'25.","Romania","10657","Serkhoshian, Gary","Cazan, Anca","EMEA","Bucharest - Romania","Resolved - Root Cause Removed","PHINIA AD team uploaded the new certificate for SAP PH1 & QE2, post which services restored . Issue stands resolved.","Root cause not required","","Root cause not required","No","false",""
"PRB0050872","2025-03-24 06:11:04","2025-11-11 03:09:08","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-INC7432139-EMEA-Network slowness issue at 00202 - Blois - France on 24th Mar'25","France","00202","Djilli, Azzeddine","Gauthier, Guillaume","EMEA","Blois - France","Unresolved - Rejected","","Under Investigation","","Under Investigation","Yes","false",""
